%time,field
1580981124650149106,4811.9415
1580981125151283979,4811.9415
1580981125643814086,4811.9415
1580981126153318881,4811.9415
1580981126649117946,4811.9414
1580981127143524885,4811.9414
1580981127658035039,4811.9413
1580981128155900955,4811.9413
1580981128648196935,4811.9413
1580981129141808986,4811.9413
1580981129653084039,4811.9412
1580981130149949073,4811.9412
1580981130644771099,4811.9411
1580981131156879901,4811.9411
1580981131652894973,4811.941
1580981132146903991,4811.941
1580981132660036087,4811.9409
1580981133155317068,4811.9409
1580981133651272058,4811.9409
1580981134146114110,4811.9409
1580981134655764102,4811.9408
1580981135153038024,4811.9408
1580981135649079084,4811.9406
1580981136161825895,4811.9406
1580981136657058954,4811.9405
1580981137150152921,4811.9405
1580981137646569967,4811.9403
1580981138159728050,4811.9403
1580981138655461072,4811.9401
1580981139150237083,4811.9401
1580981139658941030,4811.9399
1580981140155251026,4811.9399
1580981140653477907,4811.9396
1580981141149271965,4811.9396
1580981141659256935,4811.9393
1580981142152829885,4811.9393
1580981142648901939,4811.9391
1580981143162318944,4811.9391
1580981143655612945,4811.9388
1580981144154984951,4811.9388
1580981144646262884,4811.9385
1580981145157394886,4811.9385
1580981145657005071,4811.9381
1580981146153660058,4811.9381
1580981146645152091,4811.9379
1580981147156313896,4811.9379
1580981147652909994,4811.9376
1580981148151577949,4811.9376
1580981148660573959,4811.9373
1580981149156481981,4811.9373
1580981149649888992,4811.937
1580981150145912885,4811.937
1580981150659071922,4811.9367
1580981151154423952,4811.9367
1580981151651190996,4811.9365
1580981152143096923,4811.9365
1580981152655412912,4811.9362
1580981153153737068,4811.9362
1580981153648972988,4811.9359
1580981154160629987,4811.9359
1580981154653186082,4811.9355
1580981155151830911,4811.9355
1580981155662087917,4811.9352
1580981156156966924,4811.9352
1580981156653817892,4811.935
1580981157147028923,4811.935
1580981157659753084,4811.9347
1580981158155740022,4811.9347
1580981158649717092,4811.9347
1580981159163809061,4811.9347
1580981159655617952,4811.9346
1580981160152642011,4811.9346
1580981160649151086,4811.9345
1580981161160063028,4811.9345
1580981161656439065,4811.9342
1580981162150125980,4811.9342
1580981162647492885,4811.934
1580981163159715890,4811.934
1580981163652684926,4811.9337
1580981164149997949,4811.9337
1580981164658735990,4811.9334
1580981165155411958,4811.9334
1580981165653249025,4811.9331
1580981166146914005,4811.9331
1580981166659392118,4811.9327
1580981167152717113,4811.9327
1580981167649100065,4811.9323
1580981168163294076,4811.9323
1580981168656297922,4811.9319
1580981169153438091,4811.9319
1580981169646965026,4811.9315
1580981170160815954,4811.9315
1580981170655239105,4811.9313
1580981171148951053,4811.9313
1580981171646894931,4811.931
1580981172155833005,4811.931
1580981172651442050,4811.9308
1580981173149558067,4811.9308
1580981173660682916,4811.9307
1580981174155812025,4811.9307
1580981174649579048,4811.9306
1580981175161242008,4811.9306
1580981175659471035,4811.9306
1580981176152694940,4811.9306
1580981176651755094,4811.9306
1580981177158920049,4811.9306
1580981177654841899,4811.9306
1580981178152225017,4811.9306
1580981178646456956,4811.9305
1580981179160496950,4811.9305
1580981179652731895,4811.9304
1580981180148299932,4811.9304
1580981180662843942,4811.9301
1580981181156955957,4811.9301
1580981181653672933,4811.9298
1580981182146797895,4811.9298
1580981182657959938,4811.9295
1580981183156956911,4811.9295
1580981183650479078,4811.9291
1580981184161861896,4811.9291
1580981184656300067,4811.9287
1580981185151371002,4811.9287
1580981185650574922,4811.9284
1580981186158858060,4811.9284
1580981186657195091,4811.928
1580981187150152921,4811.928
1580981187660653114,4811.9275
1580981188161029100,4811.9275
1580981188652689933,4811.9271
1580981189150427103,4811.9271
1580981189658922910,4811.9265
1580981190154736995,4811.9265
1580981190652297973,4811.926
1580981191162892103,4811.926
1580981191660873889,4811.9254
1580981192153161048,4811.9254
1580981192650656938,4811.9249
1580981193163271903,4811.9249
1580981193658016920,4811.9243
1580981194153388977,4811.9243
1580981194646806001,4811.9237
1580981195161067008,4811.9237
1580981195657542943,4811.9231
1580981196150051116,4811.9231
1580981196662213087,4811.9224
1580981197156352043,4811.9224
1580981197654273986,4811.9218
1580981198150250911,4811.9218
1580981198661120891,4811.9211
1580981199156449079,4811.9211
1580981199649768114,4811.9205
1580981200163261890,4811.9205
1580981200660382986,4811.9199
1580981201154921054,4811.9199
1580981201649584054,4811.9193
1580981202159638881,4811.9193
1580981202656358003,4811.9187
1580981203154057025,4811.9187
1580981203662120103,4811.9181
1580981204160187959,4811.9181
1580981204653099060,4811.9175
1580981205148914098,4811.9175
1580981205661742925,4811.9169
1580981206156933069,4811.9169
1580981206653839111,4811.9163
1580981207165209054,4811.9163
1580981207658154964,4811.9157
1580981208155580997,4811.9157
1580981208650706052,4811.915
1580981209160579919,4811.915
1580981209659004926,4811.9144
1580981210151628971,4811.9144
1580981210665718078,4811.9137
1580981211160598993,4811.9137
1580981211653881072,4811.9131
1580981212153831958,4811.9131
1580981212661295890,4811.9125
1580981213159065008,4811.9125
1580981213656074047,4811.9119
1580981214165153980,4811.9119
1580981214662398099,4811.9113
1580981215155249118,4811.9113
1580981215653079986,4811.9108
1580981216165055036,4811.9108
1580981216658982038,4811.9103
1580981217157514095,4811.9103
1580981217648478984,4811.9098
1580981218163202047,4811.9098
1580981218659008979,4811.9093
1580981219154392957,4811.9093
1580981219663630962,4811.9088
1580981220158413887,4811.9088
1580981220656132936,4811.9083
1580981221152647018,4811.9083
1580981221664587020,4811.9078
1580981222160824060,4811.9078
1580981222652152061,4811.9074
1580981223164021968,4811.9074
1580981223662704944,4811.9069
1580981224158432006,4811.9069
1580981224653986930,4811.9064
1580981225160885095,4811.9064
1580981225657780885,4811.906
1580981226155683994,4811.906
1580981226666544914,4811.9055
1580981227161763906,4811.9055
1580981227655296087,4811.9051
1580981228151185989,4811.9051
1580981228662977933,4811.9046
1580981229158443927,4811.9046
1580981229655901908,4811.9042
1580981230164779901,4811.9042
1580981230659823894,4811.9037
1580981231160387039,4811.9037
1580981231666968107,4811.9033
1580981232164429903,4811.9033
1580981232658094882,4811.9028
1580981233154589891,4811.9028
1580981233652522087,4811.9023
1580981234163009881,4811.9023
1580981234659746885,4811.9018
1580981235151752948,4811.9018
1580981235664788961,4811.9013
1580981236162534952,4811.9013
1580981236657680034,4811.9007
1580981237152885913,4811.9007
1580981237661112070,4811.9001
1580981238157483100,4811.9001
1580981238657546997,4811.8995
1580981239165570974,4811.8995
1580981239662905931,4811.8989
1580981240155200958,4811.8989
1580981240666538000,4811.8982
1580981241165980100,4811.8982
1580981241658668994,4811.8976
1580981242155947923,4811.8976
1580981242664772033,4811.8969
1580981243160671949,4811.8969
1580981243658891916,4811.8961
1580981244154280900,4811.8961
1580981244663552045,4811.8954
1580981245158113956,4811.8954
1580981245654695987,4811.8947
1580981246168852090,4811.8947
1580981246662488937,4811.894
1580981247159420013,4811.894
1580981247652249097,4811.8933
1580981248163813114,4811.8933
1580981248662143945,4811.8927
1580981249154936075,4811.8927
1580981249669660091,4811.8921
1580981250161109924,4811.8921
1580981250656702041,4811.8915
1580981251172631978,4811.8915
1580981251663965940,4811.8909
1580981252161741018,4811.8909
1580981252655304908,4811.8902
1580981253166671037,4811.8902
1580981253665173053,4811.8896
1580981254158569097,4811.8896
1580981254656797885,4811.8889
1580981255164433002,4811.8889
1580981255661272048,4811.8883
1580981256160670042,4811.8883
1580981256654237031,4811.8877
1580981257165157079,4811.8877
1580981257658832073,4811.8871
1580981258155232906,4811.8871
1580981258668035984,4811.8865
1580981259160859107,4811.8865
1580981259659955024,4811.8858
1580981260167375087,4811.8858
1580981260662549972,4811.8851
1580981261163207054,4811.8851
1580981261655369043,4811.8845
1580981262167687892,4811.8845
1580981262661329030,4811.8838
1580981263157289981,4811.8838
1580981263672502994,4811.8832
1580981264165517091,4811.8832
1580981264661140918,4811.8826
1580981265155136108,4811.8826
1580981265666718006,4811.8821
1580981266164251089,4811.8821
1580981266660650014,4811.8815
1580981267156668901,4811.8815
1580981267668071985,4811.881
1580981268160636901,4811.881
1580981268657468080,4811.8805
1580981269171358108,4811.8805
1580981269664393901,4811.88
1580981270159446954,4811.88
1580981270669867038,4811.8796
1580981271167165994,4811.8796
1580981271664764881,4811.8793
1580981272159216880,4811.8793
1580981272671904087,4811.879
1580981273163445949,4811.879
1580981273661536931,4811.8788
1580981274156789064,4811.8788
1580981274667253971,4811.8786
1580981275163815975,4811.8786
1580981275657351970,4811.8785
1580981276156083106,4811.8785
1580981276667783975,4811.8784
1580981277160373926,4811.8784
1580981277656920909,4811.8784
1580981278166429996,4811.8784
1580981278663171052,4811.8785
1580981279161545038,4811.8785
1580981279654954910,4811.8786
1580981280167223930,4811.8786
1580981280660536050,4811.8788
1580981281158466100,4811.8788
1580981281656197071,4811.879
1580981282164041996,4811.879
1580981282660429000,4811.8793
1580981283153873920,4811.8793
1580981283667582035,4811.8796
1580981284163312911,4811.8796
1580981284657406091,4811.88
1580981285154498100,4811.88
1580981285663552045,4811.8804
1580981286160670042,4811.8804
1580981286657042026,4811.8809
1580981287166222095,4811.8809
1580981287663151025,4811.8814
1580981288157341003,4811.8814
1580981288655325889,4811.882
1580981289167465925,4811.882
1580981289659910917,4811.8825
1580981290158109903,4811.8825
1580981290666085004,4811.8831
1580981291161983966,4811.8831
1580981291662477016,4811.8837
1580981292169447898,4811.8837
1580981292667294979,4811.8843
1580981293159734964,4811.8843
1580981293655985116,4811.8849
1580981294170674085,4811.8849
1580981294663497924,4811.8855
1580981295161829948,4811.8855
1580981295654478073,4811.8861
1580981296165324926,4811.8861
1580981296663789987,4811.8867
1580981297156750917,4811.8867
1580981297668788909,4811.8873
1580981298164606094,4811.8873
1580981298658963918,4811.8878
1580981299171659946,4811.8878
1580981299666496038,4811.8882
1580981300164740085,4811.8882
1580981300657115936,4811.8887
1580981301167927026,4811.8887
1580981301666004896,4811.889
1580981302162880897,4811.889
1580981302671320915,4811.8894
1580981303168695926,4811.8894
1580981303661580085,4811.8897
1580981304160917043,4811.8897
1580981304672218084,4811.8901
1580981305166182994,4811.8901
1580981305661386966,4811.8904
1580981306171084880,4811.8904
1580981306668863058,4811.8908
1580981307165680885,4811.8908
1580981307660666942,4811.8911
1580981308171087980,4811.8911
1580981308665292024,4811.8914
1580981309164661884,4811.8914
1580981309659198045,4811.8917
1580981310170159101,4811.8917
1580981310665613889,4811.892
1580981311158370971,4811.892
1580981311672612905,4811.8923
1580981312171700000,4811.8923
1580981312663286924,4811.8925
1580981313177985906,4811.8925
1580981313668246030,4811.8927
1580981314165760040,4811.8927
1580981314661983013,4811.8929
1580981315173114061,4811.8929
1580981315669121026,4811.8931
1580981316161679983,4811.8931
1580981316658416986,4811.8932
1580981317172442913,4811.8932
1580981317665846109,4811.8933
1580981318162200927,4811.8933
1580981318671327114,4811.8934
1580981319167946100,4811.8934
1580981319665709018,4811.8934
1580981320160554885,4811.8934
1580981320674284934,4811.8934
1580981321164952039,4811.8934
1580981321664164066,4811.8934
1580981322176218032,4811.8934
1580981322668735027,4811.8933
1580981323166455030,4811.8933
1580981323659229993,4811.8932
1580981324170238971,4811.8932
1580981324671643972,4811.8931
1580981325162225961,4811.8931
1580981325675081968,4811.893
1580981326168184041,4811.893
1580981326666059970,4811.8928
1580981327161576032,4811.8928
1580981327671793937,4811.8927
1580981328168510913,4811.8927
1580981328661778926,4811.8925
1580981329173615932,4811.8925
1580981329673508882,4811.8923
1580981330165424108,4811.8923
1580981330663094043,4811.892
1580981331173017024,4811.892
1580981331667001008,4811.8917
1580981332164767980,4811.8917
1580981332677516937,4811.8914
1580981333171767950,4811.8914
1580981333665493011,4811.8911
1580981334160703897,4811.8911
1580981334675750017,4811.8907
1580981335170424938,4811.8907
1580981335666140079,4811.8903
1580981336158910989,4811.8903
1580981336670001029,4811.8898
1580981337168493986,4811.8898
1580981337662581920,4811.8892
1580981338176642894,4811.8892
1580981338667933940,4811.8885
1580981339164463996,4811.8885
1580981339678327083,4811.8877
1580981340170958042,4811.8877
1580981340669802904,4811.8869
1580981341162293910,4811.8869
1580981341673053979,4811.8861
1580981342171633005,4811.8861
1580981342667149066,4811.8853
1580981343163865089,4811.8853
1580981343671423912,4811.8845
1580981344166501998,4811.8845
1580981344666933059,4811.8836
1580981345176141977,4811.8836
1580981345674585103,4811.8827
1580981346164798974,4811.8827
1580981346676369905,4811.8819
1580981347174211025,4811.8819
1580981347671842098,4811.881
1580981348165805101,4811.881
1580981348660331964,4811.8801
1580981349170347929,4811.8801
1580981349667525053,4811.8791
1580981350164206027,4811.8791
1580981350676278114,4811.8782
1580981351170584917,4811.8782
1580981351663928031,4811.8773
1580981352161088943,4811.8773
1580981352674455881,4811.8763
1580981353165952920,4811.8763
1580981353664149045,4811.8754
1580981354173140048,4811.8754
1580981354671575069,4811.8744
1580981355168486118,4811.8744
1580981355678364038,4811.8735
1580981356174360990,4811.8735
1580981356667244911,4811.8725
1580981357165060997,4811.8725
1580981357675652027,4811.8716
1580981358172115087,4811.8716
1580981358669986009,4811.8707
1580981359160434007,4811.8707
1580981359672704935,4811.8698
1580981360170634984,4811.8698
1580981360666887044,4811.8689
1580981361177520036,4811.8689
1580981361669706106,4811.868
1580981362166302919,4811.868
1580981362679399013,4811.8671
1580981363174377918,4811.8671
1580981363672802925,4811.8661
1580981364163603067,4811.8661
1580981364674700021,4811.8652
1580981365173178911,4811.8652
1580981365669296026,4811.8642
1580981366165627956,4811.8642
1580981366673525094,4811.8633
1580981367168865919,4811.8633
1580981367667382001,4811.8624
1580981368177846908,4811.8624
1580981368674592971,4811.8613
1580981369166626930,4811.8613
1580981369678436040,4811.8604
1580981370173615932,4811.8604
1580981370671144008,4811.8594
1580981371167138099,4811.8594
1580981371680613040,4811.8586
1580981372171950101,4811.8586
1580981372669821977,4811.8577
1580981373165941953,4811.8577
1580981373677098989,4811.8568
1580981374173080921,4811.8568
1580981374665236949,4811.856
1580981375179397106,4811.856
1580981375676438093,4811.8551
1580981376170980930,4811.8551
1580981376665179014,4811.8543
1580981377174865961,4811.8543
1580981377671184062,4811.8535
1580981378168617010,4811.8535
1580981378665071964,4811.8527
1580981379174988985,4811.8527
1580981379668917894,4811.852
1580981380165266036,4811.852
1580981380679285049,4811.8513
1580981381173106908,4811.8513
1580981381670804977,4811.8505
1580981382178352117,4811.8505
1580981382675213098,4811.8497
1580981383172771930,4811.8497
1580981383668102025,4811.849
1580981384178962945,4811.849
1580981384671654939,4811.8483
1580981385168450117,4811.8483
1580981385682724952,4811.8477
1580981386175950050,4811.8477
1580981386674592018,4811.847
1580981387165860891,4811.847
1580981387677108049,4811.8464
1580981388175312995,4811.8464
1580981388670846939,4811.8457
1580981389181993961,4811.8457
1580981389675015926,4811.845
1580981390170185089,4811.845
1580981390670008897,4811.8443
1580981391161618947,4811.8443
1580981391677262067,4811.8436
1580981392169035911,4811.8436
