%time,field
1580981124650180101,300.8813
1580981125151352882,300.8813
1580981125643902063,300.8813
1580981126153345108,300.8813
1580981126649156093,300.8812
1580981127143541097,300.8812
1580981127658034086,300.8812
1580981128155913114,300.8812
1580981128648197889,300.8812
1580981129141808986,300.8812
1580981129653084039,300.8812
1580981130149952888,300.8812
1580981130644771099,300.8811
1580981131156878948,300.8811
1580981131653009891,300.8811
1580981132146985054,300.8811
1580981132660104036,300.8811
1580981133155354976,300.8811
1580981133651285886,300.8811
1580981134146148920,300.8811
1580981134655769109,300.8811
1580981135153063058,300.8811
1580981135649079084,300.8811
1580981136161828994,300.8811
1580981136657058954,300.881
1580981137150171041,300.881
1580981137646593093,300.881
1580981138159728050,300.881
1580981138655481100,300.8812
1580981139150237083,300.8812
1580981139659025907,300.8816
1580981140155317068,300.8816
1580981140653547048,300.8815
1580981141149271965,300.8815
1580981141659256935,300.8814
1580981142152853012,300.8814
1580981142648983955,300.8814
1580981143162369012,300.8814
1580981143655617952,300.8813
1580981144154985904,300.8813
1580981144646300077,300.8813
1580981145157428979,300.8813
1580981145657069921,300.8813
1580981146153675079,300.8813
1580981146645170927,300.8813
1580981147156351089,300.8813
1580981147652983903,300.8813
1580981148151597976,300.8813
1580981148660573959,300.8814
1580981149156512022,300.8814
1580981149649918079,300.8816
1580981150145912885,300.8816
1580981150659122943,300.8819
1580981151154424905,300.8819
1580981151651190996,300.8828
1580981152143112897,300.8828
1580981152655437946,300.8836
1580981153153753042,300.8836
1580981153648998975,300.8845
1580981154160630941,300.8845
1580981154653191089,300.8854
1580981155151890039,300.8854
1580981155662087917,300.8864
1580981156156966924,300.8864
1580981156653817892,300.8875
1580981157147063016,300.8875
1580981157659753084,300.8886
1580981158155750989,300.8886
1580981158649797916,300.8899
1580981159163861036,300.8899
1580981159655648946,300.8911
1580981160152667999,300.8911
1580981160649151086,300.8923
1580981161160128116,300.8923
1580981161656456947,300.8935
1580981162150197982,300.8935
1580981162647509098,300.8947
1580981163159778118,300.8947
1580981163652720928,300.8959
1580981164150054931,300.8959
1580981164658782005,300.897
1580981165155436038,300.897
1580981165653304100,300.8982
1580981166146962881,300.8982
1580981166659430980,300.8994
1580981167152796030,300.8994
1580981167649128913,300.9007
1580981168163292884,300.9007
1580981168656297922,300.9021
1580981169153465032,300.9021
1580981169646964073,300.9034
1580981170160815954,300.9034
1580981170655284881,300.9047
1580981171149029016,300.9047
1580981171646912097,300.906
1580981172155837059,300.906
1580981172651468038,300.9072
1580981173149631977,300.9072
1580981173660696983,300.9084
1580981174155826091,300.9084
1580981174649585008,300.9095
1580981175161256074,300.9095
1580981175659471035,300.9107
1580981176152770042,300.9107
1580981176651839017,300.9117
1580981177158934116,300.9117
1580981177654875993,300.9128
1580981178152302980,300.9128
1580981178646542072,300.9138
1580981179160569906,300.9138
1580981179652803897,300.9148
1580981180148319959,300.9148
1580981180662858009,300.9158
1580981181156966924,300.9158
1580981181653672933,300.9169
1580981182146797895,300.9169
1580981182658046960,300.918
1580981183157038927,300.918
1580981183650563001,300.9192
1580981184161930084,300.9192
1580981184656385898,300.9203
1580981185151457071,300.9203
1580981185650588035,300.9215
1580981186158857107,300.9215
1580981186657203912,300.9227
1580981187150160074,300.9227
1580981187660701036,300.924
1580981188161041975,300.924
1580981188652702093,300.9254
1580981189150437116,300.9254
1580981189658922910,300.9268
1580981190154839992,300.9268
1580981190652334928,300.9282
1580981191162966966,300.9282
1580981191660862922,300.9295
1580981192153182029,300.9295
1580981192650686979,300.9309
1580981193163312911,300.9309
1580981193658030033,300.9321
1580981194153393983,300.9321
1580981194646810054,300.9333
1580981195161077022,300.9333
1580981195657566070,300.9346
1580981196150063037,300.9346
1580981196662250041,300.9358
1580981197156385898,300.9358
1580981197654342889,300.9371
1580981198150319099,300.9371
1580981198661120891,300.9383
1580981199156507968,300.9383
1580981199649908065,300.9395
1580981200163261890,300.9395
1580981200660397052,300.9407
1580981201154922008,300.9407
1580981201649661064,300.9419
1580981202159732103,300.9419
1580981202656440019,300.943
1580981203154087066,300.943
1580981203662120103,300.9442
1580981204160188913,300.9442
1580981204653130054,300.9454
1580981205148921966,300.9454
1580981205661796092,300.9466
1580981206156969070,300.9466
1580981206653839111,300.9478
1580981207165209054,300.9478
1580981207658210992,300.949
1580981208155595064,300.949
1580981208650741100,300.9503
1580981209160634994,300.9503
1580981209659070968,300.9514
1580981210151655912,300.9514
1580981210665716886,300.9525
1580981211160669088,300.9525
1580981211653899908,300.9536
1580981212153917074,300.9536
1580981212661313056,300.9547
1580981213159117937,300.9547
1580981213656109094,300.9557
1580981214165167093,300.9557
1580981214662405014,300.9567
1580981215155301094,300.9567
1580981215653095006,300.9577
1580981216165060997,300.9577
1580981216659041881,300.9586
1580981217157551050,300.9586
1580981217648484945,300.9595
1580981218163219928,300.9595
1580981218659080028,300.9604
1580981219154468059,300.9604
1580981219663708925,300.9614
1580981220158435106,300.9614
1580981220656258106,300.9624
1580981221152700901,300.9624
1580981221664659023,300.9633
1580981222160901069,300.9633
1580981222652192115,300.9643
1580981223164041042,300.9643
1580981223662704944,300.9652
1580981224158457994,300.9652
1580981224654067039,300.9661
1580981225160964012,300.9661
1580981225657779932,300.9671
1580981226155697107,300.9671
1580981226666579008,300.968
1580981227161761045,300.968
1580981227655293941,300.9689
1580981228151221990,300.9689
1580981228663058996,300.9698
1580981229158454895,300.9698
1580981229655904054,300.9708
1580981230164808034,300.9708
1580981230659864902,300.9717
1580981231160386085,300.9717
1580981231666987895,300.9728
1580981232164505958,300.9728
1580981232658103942,300.9738
1580981233154644966,300.9738
1580981233652596950,300.9748
1580981234163120031,300.9748
1580981234659746885,300.9758
1580981235151752948,300.9758
1580981235664788961,300.9767
1580981236162533998,300.9767
1580981236657721996,300.9776
1580981237152892112,300.9776
1580981237661120891,300.9783
1580981238157484054,300.9783
1580981238657598972,300.979
1580981239165627002,300.979
1580981239662906885,300.9795
1580981240155205011,300.9795
1580981240666595935,300.9799
1580981241165980100,300.9799
1580981241658731937,300.9801
1580981242155951023,300.9801
1580981242664854049,300.9802
1580981243160676002,300.9802
1580981243658907890,300.9803
1580981244154366970,300.9803
1580981244663670063,300.9802
1580981245158113956,300.9802
1580981245654695987,300.9802
1580981246168864965,300.9802
1580981246662517070,300.9801
1580981247159446954,300.9801
1580981247652286052,300.98
1580981248163876056,300.98
1580981248662144899,300.98
1580981249155002117,300.98
1580981249669682979,300.9798
1580981250161109924,300.9798
1580981250656717061,300.9797
1580981251172626018,300.9797
1580981251663984060,300.9796
1580981252161804914,300.9796
1580981252655334949,300.9796
1580981253166800975,300.9796
1580981253665184020,300.9794
1580981254158610105,300.9794
1580981254656826019,300.9792
1580981255164495944,300.9792
1580981255661351919,300.979
1580981256160753965,300.979
1580981256654309988,300.9787
1580981257165193080,300.9787
1580981257658832073,300.9784
1580981258155262947,300.9784
1580981258668062925,300.978
1580981259160896062,300.978
1580981259659966945,300.9775
1580981260167375087,300.9775
1580981260662595987,300.9771
1580981261163237094,300.9771
1580981261655457019,300.9765
1580981262167759895,300.9765
1580981262661415100,300.976
1580981263157300949,300.976
1580981263672502994,300.9754
1580981264165580987,300.9754
1580981264661178112,300.9748
1580981265155138969,300.9748
1580981265666747093,300.9741
1580981266164258956,300.9741
1580981266660686016,300.9734
1580981267156671047,300.9734
1580981267668088912,300.9726
1580981268160650014,300.9726
1580981268657484054,300.9717
1580981269171359062,300.9717
1580981269664417028,300.9708
1580981270159493923,300.9708
